type,topic,source,title,body,tag,payload
fact,Interview Prep,llm,"Big-O vs Big-Omega vs Big-Theta","Big-O is an upper bound, Big-Omega is a lower bound, and Big-Theta is a tight bound that holds both ways. Saying an algorithm is O(n squared) only promises it grows no faster than that — technically, binary search is also O(n squared).","Asymptotic Analysis",
fact,Interview Prep,llm,"What interviewers really mean by Big-O","When interviewers say Big-O, they almost always mean the tight bound, Big-Theta. Give the tightest bound you can prove, and never pad an answer upward just to be safe — calling linear search O(n squared) sounds like you do not understand it.","Asymptotic Analysis",
fact,Interview Prep,llm,"Why constants disappear","Asymptotic notation describes growth as n goes to infinity, so constants and lower-order terms vanish: 3n squared plus 50n is just O(n squared). Constants still matter in practice, which is why insertion sort beats merge sort on tiny inputs.","Asymptotic Analysis",
quiz,Interview Prep,llm,"Quiz: Tight bounds","Which asymptotic notation expresses a tight bound — the function is squeezed both above and below?","Asymptotic Analysis","{""options"": [""Big-O"", ""Big-Omega"", ""Big-Theta"", ""Little-o""], ""correct"": ""Big-Theta"", ""explain"": ""Big-Theta means the runtime is bounded above AND below by the same growth rate. Big-O is only an upper bound and Big-Omega only a lower bound.""}"
fact,Interview Prep,llm,"Best, average, and worst case","The same algorithm can have wildly different cases: quicksort averages O(n log n) but degrades to O(n squared) on adversarial pivots. In interviews, state which case you are quoting — hash lookups are O(1) average but O(n) worst case.","Asymptotic Analysis",
fact,Interview Prep,llm,"Amortized is not average case","Amortized analysis averages cost over a worst-case sequence of operations on a data structure. Average case averages over random inputs. A dynamic array append is amortized O(1) even though some individual appends cost O(n) — no randomness involved.","Asymptotic Analysis",
fact,Interview Prep,llm,"Quoting the right case out loud","A strong interview habit: after coding, say the average case and worst case explicitly, and note when the worst case is realistic. For hash-heavy solutions, mention that pathological collisions exist but are not a practical concern in the problem.","Asymptotic Analysis",
quiz,Interview Prep,llm,"Quiz: Dynamic array append","What is the amortized time complexity of appending to a dynamic array like a Python list or Java ArrayList?","Asymptotic Analysis","{""options"": [""O(1)"", ""O(log n)"", ""O(n)"", ""O(n log n)""], ""correct"": ""O(1)"", ""explain"": ""Occasional resizes cost O(n), but doubling capacity makes those rare enough that the total cost of n appends is O(n), i.e. O(1) amortized per append.""}"
fact,Interview Prep,llm,"Aggregate method","The simplest amortized technique: compute the total cost of n operations, then divide by n. For a dynamic array, n appends cost at most n plus the geometric resize sum 1 + 2 + 4 + ... + n, which is under 3n — so O(1) each.","Asymptotic Analysis",
fact,Interview Prep,llm,"Accounting method","The accounting method overcharges cheap operations and banks the difference as credit. Each cheap array append is charged 3 units: one to insert, two saved to pay for copying itself and an older element during the next resize.","Asymptotic Analysis",
fact,Interview Prep,llm,"Potential method","The potential method defines a potential function on the data structure state — like stored energy. An operation's amortized cost is its real cost plus the change in potential. Expensive operations drain potential that cheap ones built up.","Asymptotic Analysis",
quiz,Interview Prep,llm,"Quiz: Banking credits","Which amortized analysis technique explicitly saves credits on cheap operations to pay for expensive ones later?","Asymptotic Analysis","{""options"": [""Aggregate method"", ""Accounting method"", ""Potential method"", ""Master theorem""], ""correct"": ""Accounting method"", ""explain"": ""The accounting method overcharges cheap operations and stores the surplus as credit on elements, spending it when an expensive operation occurs.""}"
fact,Interview Prep,llm,"The complexity ladder","Memorize the growth ladder: O(1) < O(log n) < O(n) < O(n log n) < O(n squared) < O(n cubed) < O(2 to the n) < O(n factorial). Everything up to n log n scales to huge inputs; quadratic tops out around n = 10000; exponential dies past n = 25 or so.","Asymptotic Analysis",
fact,Interview Prep,llm,"Recognizing O(log n)","If each step throws away a constant fraction of the input — halving in binary search, halving in balanced BST descent — you are in O(log n) territory. Log base does not matter asymptotically since changing base is a constant factor.","Asymptotic Analysis",
fact,Interview Prep,llm,"Exponential and factorial in practice","O(2 to the n) means enumerating subsets and O(n factorial) means enumerating permutations — both scream backtracking. They are acceptable only when constraints are tiny, typically n up to about 20 for subsets and 10 to 12 for permutations.","Asymptotic Analysis",
quiz,Interview Prep,llm,"Quiz: Halving pattern","An algorithm does constant work, then recurses on half of the input. What is its time complexity?","Asymptotic Analysis","{""options"": [""O(1)"", ""O(log n)"", ""O(n)"", ""O(n log n)""], ""correct"": ""O(log n)"", ""explain"": ""Discarding half the input each step means only about log2(n) steps before the input shrinks to size 1 — the binary search pattern.""}"
fact,Interview Prep,llm,"Space vs auxiliary space","Total space complexity includes the input; auxiliary space counts only the extra memory your algorithm allocates. When interviewers ask for space complexity of an in-place algorithm, they usually want auxiliary space — which is O(1).","Asymptotic Analysis",
fact,Interview Prep,llm,"The recursion stack counts","Recursion is not free space-wise: every stack frame is memory. Recursive DFS on a degenerate tree of n nodes uses O(n) auxiliary space, and even the elegant recursive reversal of a linked list costs O(n) stack.","Asymptotic Analysis",
fact,Interview Prep,llm,"Classic space costs to know","Merge sort needs O(n) auxiliary space for its merge buffer; quicksort needs only O(log n) expected stack; heapsort is O(1) auxiliary. Knowing these lets you answer the follow-up question — can you sort with less memory — instantly.","Asymptotic Analysis",
quiz,Interview Prep,llm,"Quiz: Merge sort memory","What is the auxiliary space complexity of a standard merge sort on an array?","Asymptotic Analysis","{""options"": [""O(1)"", ""O(log n)"", ""O(n)"", ""O(n log n)""], ""correct"": ""O(n)"", ""explain"": ""Merging requires a temporary buffer the size of the array. The recursion stack adds O(log n), but the O(n) buffer dominates.""}"
fact,Interview Prep,llm,"Reading a recurrence","Divide-and-conquer runtimes are written as recurrences: T(n) = a T(n/b) + f(n), where a is the number of subproblems, n/b their size, and f(n) the split-and-combine cost. Merge sort is T(n) = 2T(n/2) + O(n).","Asymptotic Analysis",
fact,Interview Prep,llm,"Master theorem in one line","The master theorem compares f(n) against n raised to log base b of a. If the subproblem work dominates, that power wins; if f(n) dominates, f(n) wins; if they tie, multiply by log n. Merge sort ties: n times log n.","Asymptotic Analysis",
fact,Interview Prep,llm,"Recurrences you should solve on sight","T(n) = T(n/2) + O(1) is binary search, O(log n). T(n) = 2T(n/2) + O(n) is merge sort, O(n log n). T(n) = 2T(n/2) + O(1) is tree traversal, O(n). T(n) = T(n-1) + O(1) is a simple loop in disguise, O(n).","Asymptotic Analysis",
quiz,Interview Prep,llm,"Quiz: Solve the recurrence","What does T(n) = 2T(n/2) + O(n) solve to?","Asymptotic Analysis","{""options"": [""O(n)"", ""O(n log n)"", ""O(n squared)"", ""O(log n)""], ""correct"": ""O(n log n)"", ""explain"": ""Each of the log n levels of the recursion tree does O(n) total work — the merge sort recurrence.""}"
fact,Interview Prep,llm,"The recursion tree method","Draw the recursion as a tree: cost per node, nodes per level, number of levels. Total runtime is the sum across levels. A branching factor of b and depth d gives roughly b to the d leaves — the source of exponential blowups.","Asymptotic Analysis",
fact,Interview Prep,llm,"Why naive Fibonacci is exponential","Naive recursive Fibonacci branches twice per call with depth n, giving O(2 to the n) — the same subproblems recomputed endlessly. Memoize and each of the n distinct subproblems is solved once: O(n). This gap is the whole pitch for dynamic programming.","Asymptotic Analysis",
fact,Interview Prep,llm,"Counting recursion work honestly","For backtracking, complexity is roughly the number of nodes in the decision tree times the work per node. Generating all subsets touches 2 to the n nodes with O(n) copy work each: O(n times 2 to the n). Say the per-node cost — interviewers check for it.","Asymptotic Analysis",
quiz,Interview Prep,llm,"Quiz: Naive Fibonacci","What is the time complexity of the naive recursive Fibonacci with no memoization?","Asymptotic Analysis","{""options"": [""O(n)"", ""O(n squared)"", ""O(2 to the n)"", ""O(n log n)""], ""correct"": ""O(2 to the n)"", ""explain"": ""Each call spawns two more with depth about n, so the call tree has exponentially many nodes, most recomputing the same values.""}"
fact,Interview Prep,llm,"The 10 to the 8 rule","Rough rule: about 10 to the 8 simple operations per second. Given a constraint of n up to 10 to the 5, an O(n squared) solution is 10 to the 10 operations — dead. You need O(n log n) or better. Constraints are the problem telling you the intended complexity.","Asymptotic Analysis",
fact,Interview Prep,llm,"Reading constraints like a menu","n up to 10 to the 6: aim for O(n) or O(n log n). n up to a few thousand: O(n squared) is fine. n up to about 20: exponential subsets or bitmask DP is expected. n up to 10 to 12: permutations are on the table.","Asymptotic Analysis",
fact,Interview Prep,llm,"Use constraints to pick your approach","Before solving, glance at the input bounds and work backwards to the target complexity. If n is 10 to the 5 and your idea is O(n squared), do not code it — the constraint just told you a better pattern exists, usually sorting, hashing, or two pointers.","Asymptotic Analysis",
quiz,Interview Prep,llm,"Quiz: Constraint reading","The input size is n = 100000 and the time limit is one second. Which target complexity is the safest bet?","Asymptotic Analysis","{""options"": [""O(n squared)"", ""O(n log n)"", ""O(2 to the n)"", ""O(n cubed)""], ""correct"": ""O(n log n)"", ""explain"": ""O(n log n) is about 1.7 million operations here — comfortable. O(n squared) is 10 billion, far beyond the roughly 10 to the 8 ops-per-second budget.""}"
fact,Interview Prep,llm,"Trading space for time","The most common interview optimization is spending memory to buy speed: two sum drops from O(n squared) to O(n) with a hash map, and memoization turns exponential recursion polynomial. When stuck, ask yourself what lookup you keep repeating.","Asymptotic Analysis",
fact,Interview Prep,llm,"Precompute vs on-demand","If a value will be queried many times, precompute it: prefix sums cost O(n) once and answer every range-sum query in O(1). One-off queries do not justify the setup. State the query-count assumption when you choose.","Asymptotic Analysis",
fact,Interview Prep,llm,"Volunteer the trade-off","Strong candidates narrate trade-offs unprompted: this uses O(n) extra memory to cut time to O(n), or we could save memory with sorting at O(n log n). It signals you see the design space, not just one solution.","Asymptotic Analysis",
quiz,Interview Prep,llm,"Quiz: Range sum queries","After an O(n) prefix-sum precomputation, how fast is each subsequent range-sum query?","Asymptotic Analysis","{""options"": [""O(1)"", ""O(log n)"", ""O(n)"", ""O(n log n)""], ""correct"": ""O(1)"", ""explain"": ""A range sum is just prefix[r+1] minus prefix[l] — two lookups and a subtraction, regardless of range length.""}"
fact,Interview Prep,llm,"Core structure cheat sheet: lookup","Array by index: O(1). Hash map get and put: O(1) average. Balanced BST or TreeMap: O(log n) but keeps keys sorted. Linked list search: O(n). Choosing the structure IS choosing the complexity of your solution.","Asymptotic Analysis",
fact,Interview Prep,llm,"Core structure cheat sheet: insert and delete","Array insert or delete in the middle: O(n) shifting. Linked list splice with a pointer in hand: O(1). Hash set add and remove: O(1) average. Heap push and pop: O(log n). Balanced BST insert and delete: O(log n).","Asymptotic Analysis",
fact,Interview Prep,llm,"Core structure cheat sheet: heaps and sorting","Heap peek at min or max: O(1); push and pop: O(log n); building a heap from n items: O(n), not n log n. Comparison sorting: O(n log n) is the floor. These four facts settle a surprising number of interview follow-ups.","Asymptotic Analysis",
quiz,Interview Prep,llm,"Quiz: Heap peek","What is the time complexity of reading the minimum element of a min-heap without removing it?","Asymptotic Analysis","{""options"": [""O(1)"", ""O(log n)"", ""O(n)"", ""O(n log n)""], ""correct"": ""O(1)"", ""explain"": ""The minimum sits at the root of a min-heap, so peeking is a single array access. Removal is what costs O(log n).""}"
fact,Interview Prep,llm,"Static vs dynamic arrays","Static arrays have fixed capacity set at creation; dynamic arrays wrap one and resize automatically. When a dynamic array fills, it allocates a bigger block — typically 1.5x to 2x — and copies everything over in O(n).","Arrays & Strings",
fact,Interview Prep,llm,"Why doubling makes append cheap","Growing capacity geometrically means resizes get exponentially rarer as the array grows. The copy costs across n appends sum to a geometric series under 2n, so each append is amortized O(1). Growing by a fixed amount instead would make appends amortized O(n).","Arrays & Strings",
fact,Interview Prep,llm,"Know your language's dynamic array","Python's list, Java's ArrayList, and C++'s vector are all dynamic arrays: O(1) index, O(1) amortized append, O(n) insert or delete in the middle because elements must shift. If you need cheap front insertion, that is a deque, not a list.","Arrays & Strings",
quiz,Interview Prep,llm,"Quiz: Middle insertion","What is the cost of inserting an element into the middle of a dynamic array of n elements?","Arrays & Strings","{""options"": [""O(1)"", ""O(log n)"", ""O(n)"", ""O(n log n)""], ""correct"": ""O(n)"", ""explain"": ""Every element after the insertion point must shift right by one slot, which is O(n) in the worst case regardless of amortization.""}"
fact,Interview Prep,llm,"Row-major memory layout","A 2D array is stored as one flat block in row-major order: cell (r, c) of an m-by-n grid lives at flat index r times n plus c. This mapping lets you treat a grid as a 1D array and back — handy for binary searching a sorted matrix.","Arrays & Strings",
fact,Interview Prep,llm,"Grids are just arrays of arrays","In most languages a 2D structure is an array of row arrays. Iterate rows in the outer loop and columns inner — it matches memory layout and cache behavior. Watch for the classic bug of swapping rows and cols bounds on non-square grids.","Arrays & Strings",
fact,Interview Prep,llm,"Directions array trick","For grid problems, define dirs = ((0,1),(1,0),(0,-1),(-1,0)) and loop over it to visit neighbors, checking bounds each time. It replaces four copy-pasted if blocks and extends cleanly to 8 directions or knight moves.","Arrays & Strings",
quiz,Interview Prep,llm,"Quiz: Flattening a grid","In an m-by-n grid, what is the flat 1D index of cell (r, c) in row-major order?","Arrays & Strings","{""options"": [""r * m + c"", ""r * n + c"", ""c * n + r"", ""r + c""], ""correct"": ""r * n + c"", ""explain"": ""Each full row before row r contributes n elements, so skip r*n elements, then move c into the current row.""}"
fact,Interview Prep,llm,"In-place reversal","Reverse an array in place with two pointers: swap the ends and walk inward until they meet. O(n) time, O(1) space. This tiny primitive builds bigger tricks like rotation and word reversal.","Arrays & Strings",
fact,Interview Prep,llm,"Rotation by triple reversal","To rotate an array right by k in place: reverse the whole array, then reverse the first k elements, then reverse the rest. Three O(n) passes, O(1) extra space. Remember to take k modulo n first.","Arrays & Strings",
fact,Interview Prep,llm,"Swap-to-partition","Many in-place problems reduce to swapping elements into position: move zeroes, sort colors (Dutch national flag), partitioning around a pivot. Keep a write pointer for where the next qualifying element belongs and swap into it.","Arrays & Strings",
quiz,Interview Prep,llm,"Quiz: In-place rotation","Which technique rotates an array by k positions using O(1) extra space?","Arrays & Strings","{""options"": [""Copy to a new array"", ""Triple reversal"", ""Sorting"", ""Prefix sums""], ""correct"": ""Triple reversal"", ""explain"": ""Reverse the entire array, then reverse the first k and the remaining n-k separately. The double reversal restores order within each block while blocks stay swapped.""}"
fact,Interview Prep,llm,"String immutability","Strings are immutable in Java and Python: every concatenation builds a brand-new string. Appending in a loop copies the growing result each time, turning what looks like O(n) code into O(n squared).","Arrays & Strings",
fact,Interview Prep,llm,"String builders","The fix for repeated concatenation: Java's StringBuilder, or in Python append parts to a list and join once at the end. Both make n appends O(n) total. In interviews, reaching for the builder unprompted is a fluency signal.","Arrays & Strings",
fact,Interview Prep,llm,"Mutable string workaround","Need to modify characters? Convert to a char array or Python list, edit in place, and join back at the end. C++ users get a pass — std::string is mutable — but should say so out loud when leaning on it.","Arrays & Strings",
quiz,Interview Prep,llm,"Quiz: Loop concatenation","In Python, what is the total complexity of building a string by doing result += ch inside a loop over n characters?","Arrays & Strings","{""options"": [""O(n)"", ""O(n log n)"", ""O(n squared)"", ""O(1)""], ""correct"": ""O(n squared)"", ""explain"": ""Strings are immutable, so each += copies the entire result so far. The copies sum to 1+2+...+n, which is O(n squared). Use a list and join instead.""}"
fact,Interview Prep,llm,"ASCII and frequency arrays","ASCII covers 128 characters, so for lowercase-only input an int array of size 26 indexed by c minus the character a is a faster, cleaner hash map. For general ASCII use size 128 or 256.","Arrays & Strings",
fact,Interview Prep,llm,"Unicode caution","Unicode characters can take multiple bytes, and some glyphs are multiple code points. Asking is the input ASCII or Unicode is a classic clarifying question — it decides whether a fixed-size array is safe or a hash map is required.","Arrays & Strings",
fact,Interview Prep,llm,"Character arithmetic","Characters are numbers underneath: c - 'a' gives a 0-based letter index, and c - '0' converts a digit character to its value. These conversions power frequency counting, radix tricks, and manual atoi implementations.","Arrays & Strings",
quiz,Interview Prep,llm,"Quiz: Frequency array size","The input is guaranteed lowercase English letters. What frequency array size do you need?","Arrays & Strings","{""options"": [""26"", ""52"", ""128"", ""256""], ""correct"": ""26"", ""explain"": ""There are 26 lowercase letters; index with c minus the character code of a. It beats a hash map on both speed and cleanliness for this constraint.""}"
fact,Interview Prep,llm,"Subarray vs substring vs subsequence","Subarrays and substrings are contiguous slices; subsequences keep relative order but may skip elements. The word in the problem statement is a giant hint: contiguous suggests sliding window or prefix sums, subsequence usually means DP.","Arrays & Strings",
fact,Interview Prep,llm,"How many are there","An array of length n has n(n+1)/2 nonempty subarrays but 2 to the n subsequences. Any brute force over subsequences is exponential — a red flag that the intended solution is dynamic programming or clever counting.","Arrays & Strings",
fact,Interview Prep,llm,"Misreading costs interviews","A classic failure: solving longest common substring when the problem said subsequence, or vice versa. Restate the term during clarification — do you mean contiguous — before writing a line of code.","Arrays & Strings",
quiz,Interview Prep,llm,"Quiz: Counting subarrays","How many nonempty contiguous subarrays does an array of length n have?","Arrays & Strings","{""options"": [""n"", ""n(n+1)/2"", ""2 to the n"", ""n squared""], ""correct"": ""n(n+1)/2"", ""explain"": ""A subarray is defined by its start and end positions: n choices for a single element, plus every pair, giving n(n+1)/2 total.""}"
fact,Interview Prep,llm,"Prefix sums","Precompute prefix[i] as the sum of the first i elements; then any range sum from l to r is prefix[r+1] minus prefix[l] in O(1). One O(n) pass converts repeated range-sum questions from O(n) each to constant time.","Arrays & Strings",
fact,Interview Prep,llm,"Prefix sum plus hash map","Count subarrays summing to k by walking the array, tracking the running sum, and counting how often running-sum minus k has appeared before in a hash map. O(n) time — and it gracefully handles negative numbers where sliding window fails.","Arrays & Strings",
fact,Interview Prep,llm,"Difference arrays","To apply many range updates cheaply, add the value at index l and subtract it at r+1 in a difference array, then take a prefix sum at the end to materialize final values. Each update is O(1) instead of O(range length).","Arrays & Strings",
quiz,Interview Prep,llm,"Quiz: Subarray sum equals k","Which technique counts subarrays with sum exactly k in O(n), including with negative numbers?","Arrays & Strings","{""options"": [""Sliding window"", ""Prefix sum with a hash map"", ""Sorting"", ""Binary search""], ""correct"": ""Prefix sum with a hash map"", ""explain"": ""Track the running sum and count occurrences of runningSum minus k seen so far. Sliding window breaks with negatives because the sum is no longer monotonic as the window grows.""}"
fact,Interview Prep,llm,"Naive string matching","Checking a pattern of length m at every position of a text of length n costs O(n times m). It is fine to start there in an interview — state it as the brute force, then name the faster options.","Arrays & Strings",
fact,Interview Prep,llm,"Rabin-Karp rolling hash","Rabin-Karp hashes the pattern and slides a window over the text, updating the window hash in O(1) per step: subtract the outgoing character's contribution, multiply by the base, add the incoming one. Average O(n + m); verify matches to handle hash collisions.","Arrays & Strings",
fact,Interview Prep,llm,"KMP at awareness level","KMP precomputes a failure function over the pattern so the scan never re-reads text characters, guaranteeing O(n + m) worst case. For Google interviews, know the idea and the complexity — full implementation is rarely demanded.","Arrays & Strings",
quiz,Interview Prep,llm,"Quiz: Rolling hash update","In Rabin-Karp, what is the cost of updating the hash when the window slides one character?","Arrays & Strings","{""options"": [""O(1)"", ""O(m)"", ""O(log n)"", ""O(n)""], ""correct"": ""O(1)"", ""explain"": ""Remove the leading character's contribution, shift by the base, add the new character — constant work, which is the entire point of a rolling hash.""}"
fact,Interview Prep,llm,"Anagrams are frequency counts","Two strings are anagrams if their character frequency counts match. Counting is O(n) with a 26-slot array — beating the sort-and-compare approach at O(n log n) — and the same idea powers grouped-anagram hashing by count signature.","Arrays & Strings",
fact,Interview Prep,llm,"Palindrome checks","Check a palindrome with two pointers walking inward from both ends. For palindromic substrings, expand around each of the 2n minus 1 centers — each character and each gap — giving O(n squared) total, which usually passes.","Arrays & Strings",
fact,Interview Prep,llm,"Frequency map as first instinct","When a string problem mentions counts, duplicates, or rearrangement, the first tool to reach for is a frequency map. Most easy and medium string questions are one frequency map plus one clean pass away from solved.","Arrays & Strings",
quiz,Interview Prep,llm,"Quiz: Fastest anagram check","What is the optimal way to check whether two strings are anagrams?","Arrays & Strings","{""options"": [""Sort both and compare"", ""Compare frequency counts"", ""Check every permutation"", ""Use two pointers""], ""correct"": ""Compare frequency counts"", ""explain"": ""Counting characters is O(n) time with O(1) space for a fixed alphabet, beating sorting's O(n log n). Permutation checking is factorial — never.""}"
fact,Interview Prep,llm,"Spiral traversal","Spiral order is boundary bookkeeping: maintain top, bottom, left, right; walk each edge and shrink the boundary inward after consuming it. The classic bug is double-printing the last row or column — guard with boundary checks before the reverse passes.","Arrays & Strings",
fact,Interview Prep,llm,"Rotate a matrix in place","Rotating a square matrix 90 degrees clockwise equals transposing it, then reversing each row. Both steps are in place, giving O(1) extra space. Counterclockwise is transpose then reverse each column.","Arrays & Strings",
fact,Interview Prep,llm,"Diagonal identities","Cells on the same top-left-to-bottom-right diagonal share r minus c; cells on the same anti-diagonal share r plus c. Group by those keys in a hash map and diagonal traversal problems collapse to bookkeeping.","Arrays & Strings",
quiz,Interview Prep,llm,"Quiz: 90-degree rotation","Which two operations rotate a square matrix 90 degrees clockwise in place?","Arrays & Strings","{""options"": [""Reverse rows, then columns"", ""Transpose, then reverse each row"", ""Reverse each row, then transpose... twice"", ""Swap diagonals only""], ""correct"": ""Transpose, then reverse each row"", ""explain"": ""Transposing flips the matrix over its main diagonal; reversing each row then lands every element exactly where a clockwise rotation puts it.""}"
fact,Interview Prep,llm,"How hash maps work inside","A hash map runs a key through a hash function, takes it modulo the bucket count, and stores the entry in that bucket. The load factor — entries divided by buckets — controls how crowded buckets get; keeping it low keeps operations O(1).","Hashing",
fact,Interview Prep,llm,"A good hash function","A good hash function is fast, deterministic, and spreads keys uniformly across buckets. Clustering is the enemy: if many keys land in one bucket, that bucket becomes a linear scan and O(1) quietly becomes O(n).","Hashing",
fact,Interview Prep,llm,"Set is a map without values","A hash set is a hash map that stores only keys. Same internals, same O(1) average operations. Use a set when you only care about membership and a map when each key carries a payload like a count or an index.","Hashing",
quiz,Interview Prep,llm,"Quiz: Load factor","What does the load factor of a hash map measure?","Hashing","{""options"": [""Entries divided by buckets"", ""Buckets divided by entries"", ""Collisions per lookup"", ""Memory in bytes""], ""correct"": ""Entries divided by buckets"", ""explain"": ""Load factor is occupancy: how full the table is. When it crosses a threshold like 0.75, the map resizes to keep buckets sparse and operations O(1).""}"
fact,Interview Prep,llm,"Chaining","Chaining resolves collisions by making each bucket a small list of entries; colliding keys just append. Lookups scan the chain. Java's HashMap chains, and since Java 8 it converts long chains into red-black trees to cap worst-case lookups at O(log n).","Hashing",
fact,Interview Prep,llm,"Open addressing","Open addressing stores everything in the array itself: on collision, probe for the next open slot — linearly, quadratically, or via a second hash. Python dicts do this. Deletions need tombstones so probe chains do not break.","Hashing",
fact,Interview Prep,llm,"Probing trade-offs","Linear probing is cache-friendly but suffers primary clustering, where filled runs grow and snowball. Quadratic probing and double hashing spread probes out to fight clustering at the cost of locality. Know the terms; implementation is rarely asked.","Hashing",
quiz,Interview Prep,llm,"Quiz: Collision by chaining","In a hash map using chaining, where does a new entry go when its bucket already holds another key?","Hashing","{""options"": [""It replaces the old entry"", ""It is appended to that bucket's list"", ""It probes the next bucket"", ""The insert fails""], ""correct"": ""It is appended to that bucket's list"", ""explain"": ""Chaining keeps a list per bucket, so colliding entries coexist in the same bucket and lookups walk the short list comparing keys.""}"
fact,Interview Prep,llm,"Rehashing on resize","When the load factor crosses its threshold, the map allocates roughly double the buckets and re-inserts every entry, because each key's bucket index depends on the table size. That pass is O(n), but doubling makes it rare — inserts stay amortized O(1).","Hashing",
fact,Interview Prep,llm,"Pre-sizing a map","If you know you will insert n entries, constructing the map with capacity for n avoids every intermediate rehash. In interviews it is a nice micro-optimization to mention; in production code it is a real win on hot paths.","Hashing",
fact,Interview Prep,llm,"Why order changes after resize","Iteration order of a plain hash map can change after a resize because entries move to new buckets. Never depend on hash map order — if order matters, that is a different structure, like a LinkedHashMap or an ordered dict.","Hashing",
quiz,Interview Prep,llm,"Quiz: Resize cost","A hash map resize re-inserts all n entries, yet insertion is still called amortized O(1). Why?","Hashing","{""options"": [""Resizes never happen"", ""Doubling makes resizes exponentially rare"", ""Rehashing is O(1) per entry total"", ""The OS handles it""], ""correct"": ""Doubling makes resizes exponentially rare"", ""explain"": ""Geometric growth means the total work of all resizes over n inserts is O(n), spreading to O(1) per insert — the same argument as dynamic arrays.""}"
fact,Interview Prep,llm,"When O(1) breaks","Hash map operations are O(1) on average but O(n) worst case, when many keys collide into one bucket. Adversarial inputs crafted to collide are a real attack; that is why languages randomize string hash seeds per process.","Hashing",
